name,group,year,value,subGroup,city_id,lastValue,lat,lon
Doctor Dolittle,Fox,1998,144156605,Doctor Dolittle,Fox,0,27.18333,78.01667
Rush Hour,NL,1998,141186864,Rush Hour,NL,0,27.18333,78.01667
Deep Impact,Par.,1998,140464664,Deep Impact,Par.,0,27.18333,78.01667
Godzilla,Sony,1998,136314294,Godzilla,Sony,0,27.18333,78.01667
Patch Adams,Uni.,1998,135026902,Patch Adams,Uni.,0,27.18333,78.01667
Lethal Weapon 4,WB,1998,130444603,Lethal Weapon 4,WB,0,27.18333,78.01667
The Truman Show,Par.,1998,125618201,The Truman Show,Par.,0,27.18333,78.01667
Mulan,BV,1998,120620254,Mulan,BV,0,27.18333,78.01667
You've Got Mail,WB,1998,115821495,You've Got Mail,WB,0,27.18333,78.01667
Enemy of the State,BV,1998,111549836,Enemy of the State,BV,0,27.18333,78.01667
The Lost World: Jurassic Park,Uni.,1997,229086679,The Lost World: Jurassic Park,Uni.,0,27.18333,78.01667
Men in Black,Sony,1997,250690539,Men in Black,Sony,0,27.18333,78.01667
Batman and Robin,WB,1997,107325195,Batman and Robin,WB,0,27.18333,78.01667
Air Force One,Sony,1997,172956409,Air Force One,Sony,0,27.18333,78.01667
Star Wars (Special Edition),Fox,1997,138257865,Star Wars (Special Edition),Fox,0,27.18333,78.01667
Scream 2,Dim.,1997,101363301,Scream 2,Dim.,0,27.18333,78.01667
Liar Liar,Uni.,1997,181410615,Liar Liar,Uni.,0,27.18333,78.01667
Titanic,Par.,1997,600788188,Titanic,Par.,0,27.18333,78.01667
Flubber,BV,1997,92977226,Flubber,BV,0,27.18333,78.01667
Tomorrow Never Dies,MGM,1997,125304276,Tomorrow Never Dies,MGM,0,27.18333,78.01667
Con Air,BV,1997,101117573,Con Air,BV,0,27.18333,78.01667
Face/Off,Par.,1997,112276146,Face/Off,Par.,0,27.18333,78.01667
Starship Troopers,Sony,1997,54814377,Starship Troopers,Sony,0,27.18333,78.01667
The Empire Strikes Back (Special Edition),Fox,1997,67597694,The Empire Strikes Back (Special Edition),Fox,0,27.18333,78.01667
My Best Friend's Wedding,Sony,1997,127120029,My Best Friend's Wedding,Sony,0,27.18333,78.01667
George of the Jungle,BV,1997,105263257,George of the Jungle,BV,0,27.18333,78.01667
As Good as It Gets,Sony,1997,148478011,As Good as It Gets,Sony,0,27.18333,78.01667
Good Will Hunting,Mira.,1997,138433435,Good Will Hunting,Mira.,0,27.18333,78.01667
