hui,group,year,value,subGroup,city_id,lastValue,lat,lon
The Sixth Sense,BV,1999,293506292,The Sixth Sense,BV,293506292,27.385,78.116
Toy Story 2,BV,1999,245852179,Toy Story 2,BV,245852179,27.38567,78.11633
Austin Powers: The Spy Who Shagged Me,NL,1999,206040086,Austin Powers: The Spy Who Shagged Me,NL,206040086,27.38634,78.11666
The Matrix,WB,1999,171479930,The Matrix,WB,171479930,27.38701,78.11699
Tarzan,BV,1999,171091819,Tarzan,BV,171091819,27.38768,78.11732
Big Daddy,Sony,1999,163479795,Big Daddy,Sony,163479795,27.38835,78.11765
The Mummy,Uni.,1999,155385488,The Mummy,Uni.,155385488,27.38902,78.11798
Runaway Bride,Par.,1999,152257509,Runaway Bride,Par.,152257509,27.38969,78.11831
The Blair Witch Project,Art.,1999,140539099,The Blair Witch Project,Art.,140539099,27.39036,78.11864
Stuart Little,Sony,1999,140035367,Stuart Little,Sony,140035367,27.39103,78.11897
The Green Mile,WB,1999,136801374,The Green Mile,WB,136801374,27.3917,78.1193
American Beauty,DW,1999,130096601,American Beauty,DW,130096601,27.39237,78.11963
The World Is Not Enough,MGM,1999,126943684,The World Is Not Enough,MGM,126943684,27.39304,78.11996
Double Jeopardy,Par.,1999,116741558,Double Jeopardy,Par.,116741558,27.39371,78.12029
Saving Private Ryan,DW,1998,216540909,Saving Private Ryan,DW,216540909,27.39438,78.12062
Armageddon,BV,1998,201578182,Armageddon,BV,201578182,27.39505,78.12095
There's Something About Mary,Fox,1998,176484651,There's Something About Mary,Fox,176484651,27.39572,78.12128
A Bug's Life,BV,1998,162798565,A Bug's Life,BV,162798565,27.39639,78.12161
The Waterboy,BV,1998,161491646,The Waterboy,BV,161491646,27.39706,78.12194
Doctor Dolittle,Fox,1998,144156605,Doctor Dolittle,Fox,144156605,27.39773,78.12227
Rush Hour,NL,1998,141186864,Rush Hour,NL,141186864,27.3984,78.1226
Deep Impact,Par.,1998,140464664,Deep Impact,Par.,140464664,27.39907,78.12293
Godzilla,Sony,1998,136314294,Godzilla,Sony,136314294,27.39974,78.12326
Patch Adams,Uni.,1998,135026902,Patch Adams,Uni.,135026902,27.40041,78.12359
Lethal Weapon 4,WB,1998,130444603,Lethal Weapon 4,WB,130444603,27.40108,78.12392
The Truman Show,Par.,1998,125618201,The Truman Show,Par.,125618201,27.40175,78.12425
Mulan,BV,1998,120620254,Mulan,BV,120620254,27.40242,78.12458
You've Got Mail,WB,1998,115821495,You've Got Mail,WB,115821495,27.40309,78.12491
Enemy of the State,BV,1998,111549836,Enemy of the State,BV,111549836,27.40376,78.12524
The Lost World: Jurassic Park,Uni.,1997,229086679,The Lost World: Jurassic Park,Uni.,229086679,27.40443,78.12557
Men in Black,Sony,1997,250690539,Men in Black,Sony,250690539,27.4051,78.1259
Batman and Robin,WB,1997,107325195,Batman and Robin,WB,107325195,27.40577,78.12623
Air Force One,Sony,1997,172956409,Air Force One,Sony,172956409,27.40644,78.12656
Star Wars (Special Edition),Fox,1997,138257865,Star Wars (Special Edition),Fox,138257865,27.40711,78.12689
Scream 2,Dim.,1997,101363301,Scream 2,Dim.,101363301,27.40778,78.12722
Liar Liar,Uni.,1997,181410615,Liar Liar,Uni.,181410615,27.40845,78.12755
Titanic,Par.,1997,600788188,Titanic,Par.,600788188,27.40912,78.12788
Flubber,BV,1997,92977226,Flubber,BV,92977226,27.40979,78.12821
Tomorrow Never Dies,MGM,1997,125304276,Tomorrow Never Dies,MGM,125304276,27.41046,78.12854
Con Air,BV,1997,101117573,Con Air,BV,101117573,27.41113,78.12887
Face/Off,Par.,1997,112276146,Face/Off,Par.,112276146,27.4118,78.1292
Starship Troopers,Sony,1997,54814377,Starship Troopers,Sony,54814377,27.41247,78.12953
The Empire Strikes Back (Special Edition),Fox,1997,67597694,The Empire Strikes Back (Special Edition),Fox,67597694,27.41314,78.12986
My Best Friend's Wedding,Sony,1997,127120029,My Best Friend's Wedding,Sony,127120029,27.41381,78.13019
George of the Jungle,BV,1997,105263257,George of the Jungle,BV,105263257,27.41448,78.13052
As Good as It Gets,Sony,1997,148478011,As Good as It Gets,Sony,148478011,27.41515,78.13085
Good Will Hunting,Mira.,1997,138433435,Good Will Hunting,Mira.,138433435,27.41582,78.13118
