hui,group,year,value,subGroup,city_id,lastValue,lat,lon
Avengers: Endgame,BV,2019,734190353,Avengers: Endgame,BV,734190353,27.18333,78.01667
Captain Marvel,BV,2019,424157909,Captain Marvel,BV,424157909,27.18333,78.01667
Us,Uni.,2019,174480100,Us,Uni.,174480100,27.18333,78.01667
How to Train Your Dragon: The Hidden World,Uni.,2019,160163055,How to Train Your Dragon: The Hidden World,Uni.,160163055,27.18333,78.01667
Shazam!,WB (NL),2019,137280471,Shazam!,WB (NL),137280471,27.18333,78.01667
Dumbo (2019),BV,2019,111114772,Dumbo (2019),BV,111114772,27.18333,78.01667
Glass,Uni.,2019,111035005,Glass,Uni.,111035005,27.18333,78.01667
The Upside,STX,2019,108252517,The Upside,STX,108252517,27.18333,78.01667
The LEGO Movie 2: The Second Part,WB,2019,105806508,The LEGO Movie 2: The Second Part,WB,105806508,27.18333,78.01667
Alita: Battle Angel,Fox,2019,85710210,Alita: Battle Angel,Fox,85710210,27.18333,78.01667
Tyler Perry's A Madea Family Funeral,LGF,2019,73247731,Tyler Perry's A Madea Family Funeral,LGF,73247731,27.18333,78.01667
Pokemon Detective Pikachu,WB,2019,63396074,Pokemon Detective Pikachu,WB,63396074,27.18333,78.01667
Escape Room,Sony,2019,57005601,Escape Room,Sony,57005601,27.18333,78.01667
What Men Want,Par.,2019,54611903,What Men Want,Par.,54611903,27.18333,78.01667
Pet Sematary (2019),Par.,2018,54299657,Pet Sematary (2019),Par.,54299657,27.18333,78.01667
Black Panther,BV,2018,700059566,Black Panther,BV,700059566,27.18333,78.01667
Avengers: Infinity War,BV,2018,678815482,Avengers: Infinity War,BV,678815482,27.18333,78.01667
Incredibles 2,BV,2018,608581744,Incredibles 2,BV,608581744,27.18333,78.01667
Jurassic World: Fallen Kingdom,Uni.,2018,417719760,Jurassic World: Fallen Kingdom,Uni.,417719760,27.18333,78.01667
Aquaman,WB,2018,335061807,Aquaman,WB,335061807,27.18333,78.01667
Deadpool 2,Fox,2018,318491426,Deadpool 2,Fox,318491426,27.18333,78.01667
Dr. Seuss' The Grinch (2018),Uni.,2018,270620950,Dr. Seuss' The Grinch (2018),Uni.,270620950,27.18333,78.01667
Mission: Impossible - Fallout,Par.,2018,220159104,Mission: Impossible - Fallout,Par.,220159104,27.18333,78.01667
Ant-Man and the Wasp,BV,2018,216648740,Ant-Man and the Wasp,BV,216648740,27.18333,78.01667
Bohemian Rhapsody,Fox,2018,216428042,Bohemian Rhapsody,Fox,216428042,27.18333,78.01667
A Star is Born (2018),WB,2018,215288866,A Star is Born (2018),WB,215288866,27.18333,78.01667
Solo: A Star Wars Story,BV,2018,213767512,Solo: A Star Wars Story,BV,213767512,27.18333,78.01667
Venom (2018),Sony,2018,213515506,Venom (2018),Sony,213515506,27.18333,78.01667
Ralph Breaks the Internet,BV,2018,201091711,Ralph Breaks the Internet,BV,201091711,27.18333,78.01667
Spider-Man: Into The Spider-Verse,Sony,2018,190241310,Spider-Man: Into The Spider-Verse,Sony,190241310,27.18333,78.01667
Star Wars: The Last Jedi,BV,2017,620181382,Star Wars: The Last Jedi,BV,620181382,27.18333,78.01667
Beauty and the Beast (2017),BV,2017,504014165,Beauty and the Beast (2017),BV,504014165,27.18333,78.01667
Wonder Woman,WB,2017,412563408,Wonder Woman,WB,412563408,27.18333,78.01667
Jumanji: Welcome to the Jungle,Sony,2017,404515480,Jumanji: Welcome to the Jungle,Sony,404515480,27.18333,78.01667
Guardians of the Galaxy Vol. 2,BV,2017,389813101,Guardians of the Galaxy Vol. 2,BV,389813101,27.18333,78.01667
Spider-Man: Homecoming,Sony,2017,334201140,Spider-Man: Homecoming,Sony,334201140,27.18333,78.01667
It,WB (NL),2017,327481748,It,WB (NL),327481748,27.18333,78.01667
Thor: Ragnarok,BV,2017,315058289,Thor: Ragnarok,BV,315058289,27.18333,78.01667
Despicable Me 3,Uni.,2017,264624300,Despicable Me 3,Uni.,264624300,27.18333,78.01667
Justice League,WB,2017,229024295,Justice League,WB,229024295,27.18333,78.01667
Logan (2017),Fox,2017,226277068,Logan (2017),Fox,226277068,27.18333,78.01667
The Fate of the Furious,Uni.,2017,226008385,The Fate of the Furious,Uni.,226008385,27.18333,78.01667
Coco,BV,2017,209726015,Coco,BV,209726015,27.18333,78.01667
Dunkirk,WB,2017,188045546,Dunkirk,WB,188045546,27.18333,78.01667
Get Out,Uni.,2017,176040665,Get Out,Uni.,176040665,27.18333,78.01667
Rogue One: A Star Wars Story,BV,2016,532177324,Rogue One: A Star Wars Story,BV,532177324,27.18333,78.01667
Finding Dory,BV,2016,486295561,Finding Dory,BV,486295561,27.18333,78.01667
Captain America: Civil War,BV,2016,408084349,Captain America: Civil War,BV,408084349,27.18333,78.01667
The Secret Life of Pets,Uni.,2016,368384330,The Secret Life of Pets,Uni.,368384330,27.18333,78.01667
The Jungle Book (2016),BV,2016,364001123,The Jungle Book (2016),BV,364001123,27.18333,78.01667
Deadpool,Fox,2016,363070709,Deadpool,Fox,363070709,27.18333,78.01667
Zootopia,BV,2016,341268248,Zootopia,BV,341268248,27.18333,78.01667
